entidad_a,enticve1,numeral,nombre1,presue1,presue2
12,12,31,PROGRAMA DE APOYO AL EMPLEO,9637732,13058706.67
12,12,32,TEMPORADA INVERNAL,NA,NA
12,12,33,PROGRAMA DE DIFUSION Y ALERTAMIENTO,NA,NA
12,12,34,APOYO A PESCADORES Y ACUACULTORES,4000000,735900
12,12,35,APOYO TECNICO A LA INVERSION PROGRAMATICA,8500000,8500000
12,12,36,APOYO A LA PRODUCCION AGROPECUARIA,15000000,2090000
12,12,37,CONTROL DE LA MOVILIZACION ANIMAL,9180000,6013581.03
12,12,38,EXTENSIONISMO DESARROLLO DE CAPACIDADES Y ASOCIATIVIDAD PRODUCTIVA,5000000,871495.13
12,12,39,IMPULSO A LA GANADERIA,5000000,782000
12,12,40,INFORMACION ESTADISTICA Y ESTUDIOS SNIDRUS,1320000,592000
12,12,41,REHABILITACION MODERNIZACION TECNIFICACION Y EQUIPAMIENTO DE DISTRITOS DE RIEGO,13780651,6293151
12,12,42,REHABILITACION MODERNIZACION TECNIFICACION Y EQUIPAMIENTO DE UNIDADES DE RIEGO,11506991.24,6794491.24
12,12,43,SANIDAD E INOCUIDAD AGROALIMENTARIA,3500000,900000
13,13,1,PROGRAMA DE ATENCION A LAS PERSONAS ADULTAS MAYORES,7353410,5573166.02
13,13,2,PROGRAMA DE ATENCION AL MIGRANTE,351000,351000
13,13,3,PROGRAMA DE ATENCION A LA JUVENTUD,1920089,1677276.82
13,13,4,PROGRAMA DE FOMENTO ARTESANAL,314000,314000
13,13,5,PROGRAMA PARA LA AMPLIACION DE VIVIENDA DE LA MODALIDAD DE SUBSIDIO PARA CONSTRUCCION DE CUARTO DORMITORIO EN TERRENO DEL BENEFICIARIO,20000000,5573841
13,13,6,ASITENCIA CON APOYOS AGROPECUARIOS A LA POBLACION INDIGENA,380620,380620
13,13,7,SERVICIOS DE ASISTENCIA SOCIAL A LA POBLACION INDIGENA,29700,29700
13,13,8,ASIGNACION DE INTERPRETES DE LEGUNAS INDIGENAS,154000,154000
13,13,9,ASIGNACION DE TRADUCTORES DE LENGUAS INDIGENAS,56000,56000
13,13,10,OBRAS DE INFRAESTRUCTURA BASICA INDIGENA,6507163.57,6306102
13,13,11,MEJORA DE CALIDAD Y ESPACIOS DE LA VIVIENDA,NA,NA
13,13,12,PROYECTO PRODUCTIVOS,NA,NA
13,13,13,CONSTANCIAS MUNICIPIO INDIGENA,NA,NA
13,13,14,CERTIFICACION YO ACTUALIZACION DE HABLANTES DE LENGUA INDIGENA,122000,122000
13,13,15,DOCUMENTOS DE IDENTIDAD JURIDICA,NA,NA
13,13,16,MEJORA DE SERVICIOS BASICOS EN LA VIVIENDA,NA,NA
13,13,17,VER BIEN PARA APRENDER MEJOR,1109000,872000
13,13,18,PROGRAMAS DE UTILES ESCOLARES,152374079.5,152374079.5
13,13,19,LIBROS DE TEXTO SECUNDARIA,5356568.41,5356568.41
13,13,20,PROGRAMA DE BECAS MIGUE HIDALGO DE EDUCACION SUPERIOR,130000000,129546300
13,13,21,PROGRAMA DE APOYOS DIDACTICOS COMPLEMENTARIOS (UTILES ESCOLARES) PARA SER OTORGADOS A ESTUDIANTES DE EDUCACION SUPERIOR INSCRITOS EN DE LAS INSTITUCIONES PUBLICAS DE EDUCACION SUPERIOR SECTORIZADAS A LA SEP HIDALGO,24426095.28,23729731.82
13,13,22,ALBERGUE DEL HOSPITAL DEL NIÑO DIF,1233843.8,1192856.85
13,13,23,ALBERGUE REVOLUCION,1075626.8,1058027.2
13,13,24,ATENCION A PERSONAS EN CONDICIONES DE EMERGENCIA,8035.05,6292.32
13,13,25,ATENCION PSICOLOGICA,52682.7,1959.7
