entidad_a,enticve1,numeral,nombre1,rnspni1,nombre2,elepro1,elepro2,elepro3,elepro4,elepro5,elepro6,elepro7,elepro8,elepro9,elepro10,elepro11,elepro12,elepro13
16,16,61,CASA DEL ADULTO MAYOR,1,LEY ORGANICA DE LA ADMINISTRACION PUBLICA DEL ESTADO DE MICHOACAN DE OCAMPO,,,,,,,,,1,,,,
16,16,62,INSTITUTO DE EDUCACION MEDIA SUPERIOR Y SUPERIOR DEL ESTADO DE MICHOACAN,1,LEY ORGANICA DE LA ADMINISTRACION PUBLICA DEL ESTADO DE MICHOACAN DE OCAMPO,,,,,,,,,1,,,,
16,16,63,CENTRO DE CONCILIACION LABORAL DEL ESTADO DE MICHOACAN DE OCAMPO,1,LEY ORGANICA DE LA ADMINISTRACION PUBLICA DEL ESTADO DE MICHOACAN DE OCAMPO,,,,,,,,,1,,,,
16,16,64,JUNTA LOCAL DE CONCILIACION Y ARBITRAJE,1,LEY ORGANICA DE LA ADMINISTRACION PUBLICA DEL ESTADO DE MICHOACAN DE OCAMPO,,,,,,,,,1,,,,
17,17,1,JEFATURA DE LA OFICINA DE LA GUBERNATURA,1,REGLAMENTO INTERIOR DE LA SECRETARIA DE ADMINISTRACION ARTICULO 11 FRACCION XXI,,1,,,1,1,,,1,,,,
17,17,2,SECRETARIA DE GOBIERNO,1,REGLAMENTO INTERIOR DE LA SECRETARIA DE ADMINISTRACION ARTICULO 11 FRACCION XXI,,1,,,1,1,,,1,,,,
17,17,3,SECRETARIA DE HACIENDA,1,REGLAMENTO INTERIOR DE LA SECRETARIA DE ADMINISTRACION ARTICULO 11 FRACCION XXI,,1,,,1,1,,,1,,,,
17,17,4,SECRETARIA DE DESARROLLO ECONOMICO Y DEL TRABAJO,1,REGLAMENTO INTERIOR DE LA SECRETARIA DE ADMINISTRACION ARTICULO 11 FRACCION XXI,,1,,,1,1,,,1,,,,
17,17,5,SECRETARIA DE DESARROLLO AGROPECUARIO,1,REGLAMENTO INTERIOR DE LA SECRETARIA DE ADMINISTRACION ARTICULO 11 FRACCION XXI,,1,,,1,1,,,1,,,,
17,17,6,SECRETARIA DE OBRAS PUBLICAS,1,REGLAMENTO INTERIOR DE LA SECRETARIA DE ADMINISTRACION ARTICULO 11 FRACCION XXI,,1,,,1,1,,,1,,,,
17,17,7,SECRETARIA DE EDUCACION,1,REGLAMENTO INTERIOR DE LA SECRETARIA DE ADMINISTRACION ARTICULO 11 FRACCION XXI,,1,,,1,1,,,1,,,,
17,17,8,SECRETARIA DE SALUD,1,REGLAMENTO INTERIOR DE LA SECRETARIA DE ADMINISTRACION ARTICULO 11 FRACCION XXI,,1,,,1,1,,,1,,,,
17,17,9,SECRETARIA DE ADMINISTRACION,1,REGLAMENTO INTERIOR DE LA SECRETARIA DE ADMINISTRACION ARTICULO 11 FRACCION XXI,,1,,,1,1,,,1,,,,
17,17,10,SECRETARIA DE LA CONTRALORIA,1,REGLAMENTO INTERIOR DE LA SECRETARIA DE ADMINISTRACION ARTICULO 11 FRACCION XXI,,1,,,1,1,,,1,,,,
17,17,11,SECRETARIA DE TURISMO Y CULTURA,1,REGLAMENTO INTERIOR DE LA SECRETARIA DE ADMINISTRACION ARTICULO 11 FRACCION XXI,,1,,,1,1,,,1,,,,
17,17,12,SECRETARIA DE DESARROLLO SOCIAL,1,REGLAMENTO INTERIOR DE LA SECRETARIA DE ADMINISTRACION ARTICULO 11 FRACCION XXI,,1,,,1,1,,,1,,,,
17,17,13,SECRETARIA DE DESARROLLO SUSTENTABLE,1,REGLAMENTO INTERIOR DE LA SECRETARIA DE ADMINISTRACION ARTICULO 11 FRACCION XXI,,1,,,1,1,,,1,,,,
17,17,14,SECRETARIA DE MOVILIDAD Y TRANSPORTE,1,REGLAMENTO INTERIOR DE LA SECRETARIA DE ADMINISTRACION ARTICULO 11 FRACCION XXI,,1,,,1,1,,,1,,,,
17,17,15,COMISION ESTATAL DE SEGURIDAD PUBLICA,1,REGLAMENTO INTERIOR DE LA SECRETARIA DE ADMINISTRACION ARTICULO 11 FRACCION XXI,,1,,,1,1,,,1,,,,
17,17,16,CONSEJERIA JURIDICA,1,REGLAMENTO INTERIOR DE LA SECRETARIA DE ADMINISTRACION ARTICULO 11 FRACCION XXI,,1,,,1,1,,,1,,,,
17,17,17,INSTITUTO ESTATAL DE DOCUMENTACION DEL ESTADO DE MORELOS,1,REGLAMENTO INTERIOR DE LA SECRETARIA DE ADMINISTRACION ARTICULO 11 FRACCION XXI,,1,,,1,1,,,1,,,,
17,17,18,SECRETARIADO EJECUTIVO DEL SISTEMA ESTATAL DE SEGURIDAD PUBLICA,3,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,17,19,SECRETARIA EJECUTIVO DEL SISTEMA DE PROTECCION INTEGRAL DE NIÑAS NIÑOS Y ADOLESCENTES DEL ESTADO DE MORELOS,1,REGLAMENTO INTERIOR DE LA SECRETARIA DE ADMINISTRACION ARTICULO 11 FRACCION XXI,,1,,,1,1,,,1,,,,
17,17,20,COORDINACION ESTATAL DEL SUBSISTEMA DE PREPARATORIA ABIERTA,3,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,17,21,TRIBUNAL ESTATAL DE CONCILIACION Y ARBITRAJE DEL ESTADO DE MORELOS,1,REGLAMENTO INTERIOR DE LA SECRETARIA DE ADMINISTRACION ARTICULO 11 FRACCION XXI,,1,,,1,1,,,1,,,,
